"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SMMCU","South Mountain Merger Corp.","11","$343.75M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/smmcu",
"SMMCW","South Mountain Merger Corp.","1.2968","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/smmcw",
"SPFI","South Plains Financial, Inc.","13.21","$238.56M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/spfi",
"SSB","South State Corporation","49.28","$3.49B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ssb",
"SFST","Southern First Bancshares, Inc.","25.76","$198.8M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sfst",
"SMBC","Southern Missouri Bancorp, Inc.","21.9","$199.91M","n/a","Finance","Banks","https://old.nasdaq.com/symbol/smbc",
"SONA","Southern National Bancorp of Virginia, Inc.","9.15","$222.32M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sona",
"SBSI","Southside Bancshares, Inc.","28.6","$944.13M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sbsi",
"SY","So-Young International Inc.","13.65","$1.45B","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/sy",
"SP","SP Plus Corporation","17.6","$404.75M","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/sp",
"SGRP","SPAR Group, Inc.","0.7801","$16.38M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/sgrp",
"SPKE","Spark Energy, Inc.","7.53","$265.88M","2014","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/spke",
"SPKEP","Spark Energy, Inc.","21.2859","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/spkep",
"SPTN","SpartanNash Company","22.23","$793.19M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/sptn",
"DWFI","SPDR Dorsey Wright Fixed Income Allocation ETF","24.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwfi",
